,Date,Type,Country,Area,Location,Activity,Sex,Age,Injury,Fatal,Time,Species,activity,shark_species
0,2022-07-27,Unprovoked,USA,Florida,"Florida Keys, Monroe County",Lobstering,M,13,Injury to upper lip,N,,Nurse shark,other,nurse shark
1,2021-09-03,Unprovoked,USA,Louisiana,off Grand Isle,"Fishing, fell in water",M,64,Severe injury to leg,N,,Unknown,fishing,
2,2021-05-06,Unprovoked,USA,Florida,"Daytona Beach Shores, Volusia County",Wading,F,21,Nick on foot,N,,Unknown,other,
3,2020-12-08,Unprovoked,USA,Hawaii,Honolua Bay,Surfing,M,56,FATAL,Y,,Tiger shark. ',surfing,tiger shark
4,2020-10-30,Unprovoked,Bahamas,Grand Bahama Island,East End Point,Spearfishing,M,Unknown,Hand/wrist bitten,N,Unknown:00,Reef shark,fishing,
5,2020-08-10,Provoked,USA,Florida,"Off Gasparilla Island, Charlotte County",Fishing,M,55,Injury to left forearm by hooked shark PROVOKED INCIDENT,N,,"Blacktip shark, '",fishing,blacktip shark
6,2020-06-06,Unprovoked,Australia,Western Australia,"Tantabitti Beach, Nigaloo",Unknown,F,Unknown,Unknown,Unknown,,Unknown,other,
7,2019-10-27,Provoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,32,Minor cuts when he jumped off his board and landed on the shark. PROVOKED INCIDENT,N,12:45:00, shark,surfing,
8,2019-10-25,Unprovoked,USA,California,"Cambria, San Luis Obispo County",Kayak fishing,M,Unknown,"No injury, kayak bitten",N,,White shark,fishing,white shark
9,2019-08-03,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,20,Bite to left hand and wrist,N,,Unknown,surfing,
10,2019-05-08,Unprovoked,USA,Hawaii,O'ahu,Swimming with sharks,F,34,Injuries to left arm and hand,N,09:00:00,Unknown,swimming,
11,2019-04-21,Unprovoked,USA,Florida,"Jacksonville Beach, Duval County",Unknown,M,25,Minor injury to leg,N,,Unknown,other,
12,2018-05-13,Unprovoked,USA,South Carolina,"Hilton Head Island, Beaufort County",Swimming,M,10,Severe bite to right forearm,N,,Unknown,swimming,
13,2018-04-22,Unprovoked,South Africa,Western Cape Province,"Robberg Beach, Plettenberg Bay",Surf-skiing,M,33,"No injury, shark bit hole in ski",N,09:40:00,"White shark, ",surfing,white shark
14,2018-04-19,Unprovoked,USA,Hawaii,"Shipwreckâ€™s Beach, Keoneloa Bay, Kauai",Body boarding,M,29,Lacerations to right lower leg,N,,shark,body boarding,
15,2018-04-15,Unprovoked,Thailand,Hua Hin,Sai Noi Beach,Swimming,M,54,Lacerations to foot and ankle,N,,Juvenile bull shark,swimming,bull shark
16,2018-04-09,Unprovoked,New Caledonia,Unknown,"Magenta Beach, Noumea",Foilboarding,M,17,"No injury, shark bit board",N,17:00:00, shark,other,
17,2017-10-22,Unprovoked,Australia,South Australia,Normanville,Kayaking / Fishing,F,15,Minor injuries,N,,"White shark, ",fishing,white shark
18,2017-07-27,Unprovoked,Bahamas,New Providence District,Rose Island,Snorkeling,F,Unknown,Foot & ankle injured,N,,Unknown,snorkelling,
19,2017-07-20,Invalid,USA,South Carolina,"Hilton Head Island, Beaufort County",Swimming,F,8,Foot injured,Unknown,Unknown:00,Shark involvement not confirmed,swimming,
20,2017-05-12,Unprovoked,United Arab Emirates,"Sharjah,",Khor Fakkan,Spearfishing,M,41,Right leg severely bitten,N,,Unknown,fishing,
21,2016-11-28,Provoked,Australia,Victoria,Queenscliff,Fishing,M,73,Laceration to right hand by hooked & gaffed shark. PROVOKED INCIDENT,N,,"Broadnose sevengill shark, ",fishing,
22,2016-10-29,Unprovoked,USA,Florida,Mayport Naval Station  Duval County,Surfing,M,42,Lacerations to right hand,N,Unknown:00,Unknown,surfing,
23,2016-10-13,Invalid,Mexico,Unknown,Guadalupe Island,Cage Diving,M,Unknown,"Shark breached cage, no injury to diver",Unknown,,White shark,diving,white shark
24,2015-12-21,Unprovoked,Australia,New South Wales,Bondi Beach,Surfing,M,43,"No injury, shark leapt on surfboard",N,,"Bronze whaler shark, '",surfing,bronze whaler
25,2015-10-17,Unprovoked,USA,Hawaii,"Lanikai Beach, Kailua, Oahu",Swimming,M,44,Severe injuries to lower legs. Foot later surgically amputated.,N,11:30:00,"Tiger shark, '",swimming,tiger shark
26,2015-09-01,Unprovoked,Thailand,Phuket,Karon Beach,Wading,F,37,Left foot & ankle bitten,N,,small shark,other,
27,2015-06-26,Unprovoked,South Africa,Western Cape Province,"Lookout Beach, Plettenberg Bay",Surfing,M,23,Multiple lacerations to torso & leg,N,,"White shark,   m",surfing,white shark
28,2015-05-25,Unprovoked,French Polynesia,Rangiroa,Avatoru Pass,Spearfishing,M,19,Lacerations to right forearm,N,08:00:00,  shark,fishing,
29,2015-03-10,Provoked,Mexico,Sinaloa,Mazlatan,Fishing,M,36,Right hand bitten by hooked shark PROVOKED INCIDENT,N,,Unknown,fishing,
30,2015-03-07,Unprovoked,French Polynesia,Central Tuamotu,"Tupapati, Hikueru Atoll",Sitting in the water,M,18 months,Thigh bitten,N,,Blacktip Reef shark,other,blacktip reef shark
31,2015-01-17,Watercraft,Australia,New South Wales,Off Blacksmith Beach,Fishing,M,Unknown,"Shark bumped boat, no injury to occupants",N,13:45:00, shark,fishing,
32,2014-11-17,Watercraft,USA,California,"Franklin Point, San Mateo County",Unknown,Unknown,Unknown,"Shark bumped boat, no injury to occupants",N,,White shark,other,white shark
33,2014-08-29,Unprovoked,USA,Florida,"Ponce Inlet, Volusia County",Surfing,M,17,Lacerations to shin,N,,Spinner shark or blacktip shark,surfing,blacktip shark
34,2014-08-24,Unprovoked,USA,North Carolina,"Off Masonboro Island, New Hanover County",Kite boarding,Unknown,Unknown,Laceration to left foot,N,Unknown:00,shark,kite surfing,
35,2014-08-10,Unprovoked,USA,Florida,"Hallandale Beach, Broward County",Unknown,M,26,Puncture wounds & lacerations to foot,N,,Unknown,other,
36,2014-04-22,Unprovoked,USA,Florida,"Cocoa Beach, Brevard  County",Swimming,M,42,Laceration & puncture wounds to right foot,N,,Unknown,swimming,
37,2014-03-21,Unprovoked,USA,Florida,Macarthur State Park,Surfing,M,9,Lacerations to toes and heel of right foot,N,Unknown:00,Unknown,surfing,
38,2014-03-18,Invalid,Australia,New South Wales,Lennox Head,Unknown,F,10,"Injuries to wrist/hand by a mackerel, not a shark",Unknown,,No shark involvement,other,
39,2013-06-17,Unprovoked,USA,Texas,"Surfside Beach, Brazoria County",Swimming,M,15,Left leg & hand bitten,N,,Unknown,swimming,
40,2013-04-24,Unprovoked,Mexico,Quintana Roo,"Seagull Beach, Cancun",Swimming,F,34,Avulsion injury  to lower right leg,N,13:40:00,Tiger shark,swimming,tiger shark
41,2013-04-17,Unprovoked,USA,Florida,"Near Boynton Beach, Palm Beach County",Playing in the surf,M,9,Lacerations to right foot,N,,shark,bathing,
42,2013-04-02,Unprovoked,USA,Hawaii,Kaâ€™anapali Shores,Surfing,M,58,Right thigh bitten,N,,shark,surfing,
43,2013-03-10,Unprovoked,Australia,Western Australia,African Reef off Geraldton,Spearfishing,M,28,Laceration to left hand,N,09:00:00,"Bronze whaler shark, .m",fishing,bronze whaler
44,2013-01-16,Unprovoked,USA,Hawaii,Kiholo Bay,Surfing,M,43,Left forearm bitten,N,,"Tiger shark, '",surfing,tiger shark
45,2013-01-05,Unprovoked,Australia,Western Australia,Near Legendre Island,Spearfishing / Free diving,M,26,Calf & shin bitten,N,,Unknown,diving,
46,2012-11-22,Unprovoked,Mexico,Sinaloa,Nuevo Altata,Swimming,M,32,FATAL,Y,11:40:00, shark,swimming,
47,2012-09-02,Provoked,USA,Hawaii,"Spreckelsville, Maui",Spearfishing,Unknown,Unknown,Minor laceration to hand  PROVOKED INCIDENT,N,,"Tiger shark,  '",fishing,tiger shark
48,2012-08-26,Unprovoked,Brazil,Pernambuco,"Coral Cove, Cabo de Santo Agostinho",Swimming,M,18,FATAL,Y,,Unknown,swimming,
49,2012-06-26,Unprovoked,USA,Hawaii,"Kahana Beach, Maui",Sitting in the water,F,16,Laceration to left calf,N,09:45:00,small reef shark,other,
50,2012-03-14,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,17,Bitten on calf,N,, shark,surfing,
51,2012-01-15,Unprovoked,South Africa,Eastern Cape Province,"Second Beach, Port St. Johns",Swimming,M,25,FATAL,Y,,Thought  involve bull shark,swimming,bull shark
52,2011-12-07,Unprovoked,Australia,New South Wales,Maroubra,Surfing,M,14,Minor injuries to left leg,N,Unknown:00,Wobbegong shark,surfing,wobbegong shark
53,2011-10-19,Unprovoked,Australia,Victoria,Elwood Beach,Diving,M,50,Small bruise to calf,N,,"Port Jackson shark, m",diving,
54,2011-08-24,Unprovoked,USA,North Carolina,"Buxton Beach, Dare County",Surfing,M,21,Lacerations to foot,N,,Unknown,surfing,
55,2011-08-18,Unprovoked,Russia,"Peter the Great Bay, Khasan, Primorsky Krai (Far East)",Zheltukhin Island,Swimming,M,16,"Lacerations to hip, thigh and knee",N,Unknown:00,Unknown,swimming,
56,2011-06-19,Unprovoked,Turks & Caicos,Caicos Bank,French Cay,Spearfishing,M,35,Right calf bitten,N,,shark,fishing,
57,2011-01-20,Invalid,Australia,New South Wales,Cudgen Creek,Swimming,F,7,Lacerations to both legs,Unknown,,Shark involvement not confirmed,swimming,
58,2010-02-04,Invalid,Guam,Merizo,Achang Reef,Spearfishing (free diving),M,31,Shark bites were post-mortem,Unknown,11:00:00,Invalid,diving,
59,2010-01-27,Unprovoked,Australia,Queensland,Archie's Beach,Surfing,M,Unknown,"No injury, surfboard bitten",N,,Unknown,surfing,
60,2009-12-29,Unprovoked,South Africa,Eastern Cape  Province,Port Alfred,Wading,M,20,Lacerations to  left foot,N,,Unknown,other,
61,2009-11-16,Unprovoked,USA,California,"Loch Lomond, Marin County",Fishing,M,31,Puncture wounds and minor lacerations to dorsal surface of his left hand,N,16:45:00,Thresher shark,fishing,
62,2009-11-05,Unprovoked,USA,California,"Davenport, Santa Cruz County",Surfing,M,21,"No injury, board broken in half",N,,Unknown,surfing,
63,2009-08-11,Unprovoked,South Africa,KwaZulu-Natal,Alkantstrand,Body boarding,M,Unknown,"No injury, shark bit bodyboard",N,,"White shark, m",body boarding,white shark
64,2009-07-22,Unprovoked,USA,Florida,"Intracoastal Waterway,      St. Petersburg",Swimming,F,19,Laceration to lower right leg,N,15:00:00,Unknown,swimming,
65,2009-07-11,Unprovoked,USA,California,"San Onofre, San Diego County",Paddle-surfing,M,Unknown,"No injury, shark collided with surfer & board",N,,shark,paddle surfing,
66,2009-02-08,Sea Disaster,USA,Puerto Rico,Quebradillas,Air Disaster,M,Unknown,It is probable that all 5 passengers died on impact. The body of one was scavenged by a shark,Y,,Unknown,sea accident,
67,2008-12-30,Invalid,Australia,Western Australia,Port Kennedy Beach,Crabbing,Unknown,Unknown,"Reports said a shark attacked the dinghy, but Vickery said it did not",Unknown,09:30:00,No shark involvement,fishing,
68,2008-07-19,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Wading,M,16,Lacerations to lower left leg,N,,shark,other,
69,2008-06-11,Unprovoked,Brazil,Pernambuco,"Punta Del Chifre, Olinda",Surfing,M,14,Laceration to left leg & foot,N,,Unknown,surfing,
70,2008-01-27,Provoked,Australia,Queensland,200 km east of Coolangatta,Accidentally stood on hooked shark's tail before attempting to gut it,M,20,Laceration to left knee PROVOKED INCIDENT,N,07:30:00,"Mako shark, kg",other,mako shark
71,2011-11-01,Invalid,Mexico,Baja California,Guadalupe Island,Shark diving,M,Unknown,White shark breached cage. No injury to occupants,Unknown,,Invalid,diving,
72,2006-10-31,Unprovoked,USA,Oregon,"Siletz River mouth, Lincoln County",Surfing,M,22,"No injury, surfboard bitten",N,,"White shark, '",surfing,white shark
73,2006-08-15,Unprovoked,South Africa,Western Cape Province,Danger Reef,Surfing,M,Unknown,"No injury, surfboard leash severed",N,Unknown:00, shark,surfing,
74,2006-05-02,Provoked,Australia,Queensland,"Moffat Beach, Caloundra",Snorkeling,M,46,Abrasion & 6 puncture wounds on chest after grabbing the shark by its tail PROVOKED INCIDENT,N,,"Wobbegong shark,  m",snorkelling,wobbegong shark
