Unnamed: 0,Case_Number,Year,Type,Country,Area,Location,Activity,Sex,Age,Injury,Fatal,Time,Species,fatal_injury,shark_species,month_incident,country_code,continent,lat,long
0,2018.06.25,2018,Boat,USA,California,"Oceanside, San Diego County",Surfing,F,57,"No injury to occupant, outrigger canoe and paddle damaged",N,18:00,White shark,0,white shark,Jun,US,,39.7837304,-100.445882
1,2018.06.18,2018,Unprovoked,USA,Georgia,"St. Simon Island, Glynn County",Standing,F,11,Minor injury to left thigh,N,14:00  -15:00,Unknown,0,,Jun,US,,39.7837304,-100.445882
2,2018.06.09,2018,Invalid,USA,Hawaii,"Habush, Oahu",Surfing,M,48,Injury to left lower leg from surfboard skeg,N,07:45,Unknown,0,,Jun,US,,39.7837304,-100.445882
3,2018.06.08,2018,Unprovoked,Australia,New South Wales,Arrawarra Headland,Surfing,M,,Minor injury to lower leg,N,07:45,shark,0,,Jun,AU,OC,-24.7761086,134.755
4,2018.06.04,2018,Provoked,Mexico,Colima,La Ticla,Free,M,,Lacerations to leg & hand shark PROVOKED INCIDENT,N,07:45,"Tiger shark, ",0,tiger shark,Jun,MX,,22.5000485,-100.000037
5,2018.06.03,2018,Unprovoked,Australia,New South Wales,"Flat Rock, Ballina",Kite,M,,"No injury, board bitten",N,07:45,Unknown,0,,Jun,AU,OC,-24.7761086,134.755
6,2018.06.03,2018,Unprovoked,Brazil,Pernambuco,"Piedade Beach, Recife",Swimming,M,18,FATAL,Y,19:30,Tiger shark,1,tiger shark,Jun,BR,SA,-10.3333333,-53.2
7,2018.05.27,2018,Unprovoked,USA,Florida,"Lighhouse Point Park, Ponce Inlet, Volusia County",Fishing,M,52,Minor injury to foot. PROVOKED INCIDENT,N,19:30,"Lemon shark, ",0,lemon shark,May,US,,39.7837304,-100.445882
8,2018.05.26,2018,Unprovoked,USA,Florida,"Cocoa Beach, Brevard  County",Walking,M,15,Lower left leg bitten,N,17:00,"Bull shark, ",0,bull shark,May,US,,39.7837304,-100.445882
9,2018.05.26,2018,Unprovoked,USA,Florida,"Daytona Beach, Volusia County",Standing,M,12,Minor injury to foot,N,14:00,Unknown,0,,May,US,,39.7837304,-100.445882
10,2018.05.24,2018,Provoked,Australia,Queensland,Cairns Aquarium,Feeding,M,32,Minor bite to hand by captive shark. PROVOKED INCIDENT,N,08:30,Grey reef shark,0,grey reef shark,May,AU,OC,-24.7761086,134.755
11,2018.05.21,2018,Unprovoked,USA,South Carolina,"Isle of Palms,  Charleston County",Boogie,M,10,Injuries to lower right leg and foot,N,08:30,Unknown,0,,May,US,,39.7837304,-100.445882
12,2018.05.13,2018,Unprovoked,USA,South Carolina,"Hilton Head Island, Beaufort County",Swimming,M,10,Severe bite to right forearm,N,15:00,Unknown,0,,May,US,,39.7837304,-100.445882
13,2018.05.13,2018,Invalid,United Kingdom,Cornwall,Off Land's End,Fishing,M,21,Injured by teeth of a dead porbeagle shark he was tossing overboard.,N,08:15,Invalid incident,0,,May,GB,EU,54.7023545,-3.2765753
14,2018.05.00,2018,Provoked,Australia,Westerm Australia,Dugong Bay,Feeding,F,34,Shallow lacerations to finger PROVOKED INCIDENT,N,08:15,"Tawny nurse shark, ",0,nurse shark,May,AU,OC,-24.7761086,134.755
15,2018.05.12,2018,Unprovoked,South Africa,Eastern Cape Province,"Nahoon Beach, East London",Surfing,M,,"Minor injury, marks on board",N,11:00,Unknown,0,,May,ZA,AF,-28.8166236,24.991639
16,2018.05.09,2018,Unknown,Australia,New South Wales,"Sharpes Beach, Ballina",Surfing,M,,"No injury, surfboard damaged",N,10:30,Shark involvement not confirmed,0,,May,AU,OC,-24.7761086,134.755
