Unnamed: 0,Case_Number,Year,Type,Country,Area,Location,Activity,Sex,Age,Injury,Fatal,Time,Species,fatal_injury,shark_species,month_incident,country_code,continent,lat,long,geometry
0,2018.06.25,2018,Boat,USA,California,"Oceanside, San Diego County",Surfing,F,57,"No injury to occupant, outrigger canoe and paddle damaged",N,18:00,White shark,,white shark,Jun,US,,39.7837304,-100.445882,POINT (-100.445882 39.7837304)
1,2018.06.18,2018,Unprovoked,USA,Georgia,"St. Simon Island, Glynn County",Standing,F,11,Minor injury to left thigh,N,14:00  -15:00,Unknown,,,Jun,US,,39.7837304,-100.445882,POINT (-100.445882 39.7837304)
2,2018.06.09,2018,Invalid,USA,Hawaii,"Habush, Oahu",Surfing,M,48,Injury to left lower leg from surfboard skeg,N,07:45,Unknown,,,Jun,US,,39.7837304,-100.445882,POINT (-100.445882 39.7837304)
3,2018.06.08,2018,Unprovoked,Australia,New South Wales,Arrawarra Headland,Surfing,M,,Minor injury to lower leg,N,07:45,shark,,,Jun,AU,OC,-24.7761086,134.755,POINT (134.755 -24.7761086)
4,2018.06.04,2018,Provoked,Mexico,Colima,La Ticla,Free,M,,Lacerations to leg & hand shark PROVOKED INCIDENT,N,07:45,"Tiger shark, ",,tiger shark,Jun,MX,,22.5000485,-100.000037,POINT (-100.000037 22.5000485)
5,2018.06.03,2018,Unprovoked,Australia,New South Wales,"Flat Rock, Ballina",Kite,M,,"No injury, board bitten",N,07:45,Unknown,,,Jun,AU,OC,-24.7761086,134.755,POINT (134.755 -24.7761086)
6,2018.06.03,2018,Unprovoked,Brazil,Pernambuco,"Piedade Beach, Recife",Swimming,M,18,FATAL,Y,19:30,Tiger shark,FATAL,tiger shark,Jun,BR,SA,-10.3333333,-53.2,POINT (-53.2 -10.3333333)
7,2018.05.27,2018,Unprovoked,USA,Florida,"Lighhouse Point Park, Ponce Inlet, Volusia County",Fishing,M,52,Minor injury to foot. PROVOKED INCIDENT,N,19:30,"Lemon shark, ",,lemon shark,May,US,,39.7837304,-100.445882,POINT (-100.445882 39.7837304)
8,2018.05.26,2018,Unprovoked,USA,Florida,"Cocoa Beach, Brevard  County",Walking,M,15,Lower left leg bitten,N,17:00,"Bull shark, ",,bull shark,May,US,,39.7837304,-100.445882,POINT (-100.445882 39.7837304)
9,2018.05.26,2018,Unprovoked,USA,Florida,"Daytona Beach, Volusia County",Standing,M,12,Minor injury to foot,N,14:00,Unknown,,,May,US,,39.7837304,-100.445882,POINT (-100.445882 39.7837304)
10,2018.05.24,2018,Provoked,Australia,Queensland,Cairns Aquarium,Feeding,M,32,Minor bite to hand by captive shark. PROVOKED INCIDENT,N,08:30,Grey reef shark,,grey reef shark,May,AU,OC,-24.7761086,134.755,POINT (134.755 -24.7761086)
11,2018.05.21,2018,Unprovoked,USA,South Carolina,"Isle of Palms,  Charleston County",Boogie,M,10,Injuries to lower right leg and foot,N,08:30,Unknown,,,May,US,,39.7837304,-100.445882,POINT (-100.445882 39.7837304)
12,2018.05.13,2018,Unprovoked,USA,South Carolina,"Hilton Head Island, Beaufort County",Swimming,M,10,Severe bite to right forearm,N,15:00,Unknown,,,May,US,,39.7837304,-100.445882,POINT (-100.445882 39.7837304)
13,2018.05.13,2018,Invalid,United Kingdom,Cornwall,Off Land's End,Fishing,M,21,Injured by teeth of a dead porbeagle shark he was tossing overboard.,N,08:15,Invalid incident,,,May,GB,EU,54.7023545,-3.2765753,POINT (-3.2765753 54.7023545)
14,2018.05.00,2018,Provoked,Australia,Westerm Australia,Dugong Bay,Feeding,F,34,Shallow lacerations to finger PROVOKED INCIDENT,N,08:15,"Tawny nurse shark, ",,nurse shark,May,AU,OC,-24.7761086,134.755,POINT (134.755 -24.7761086)
15,2018.05.12,2018,Unprovoked,South Africa,Eastern Cape Province,"Nahoon Beach, East London",Surfing,M,,"Minor injury, marks on board",N,11:00,Unknown,,,May,ZA,AF,-28.8166236,24.991639,POINT (24.991639 -28.8166236)
16,2018.05.09,2018,Unknown,Australia,New South Wales,"Sharpes Beach, Ballina",Surfing,M,,"No injury, surfboard damaged",N,10:30,Shark involvement not confirmed,,,May,AU,OC,-24.7761086,134.755,POINT (134.755 -24.7761086)
17,2018.04.30,2018,Unprovoked,Thailand,Hua Hin,Sai Noi Beach,Swimming,M,,Minor injury to ankle,N,10:30,Unknown,,,Apr,TH,AS,14.8971921,100.83273,POINT (100.83273 14.8971921)
18,2018.04.28,2018,Unprovoked,Costa Rica,Cocos Island,Manuelita,Diving,M,30,"No injury, shark bit scuba gear",N,10:40,Tiger shark,,tiger shark,Apr,CR,,10.2735633,-84.0739102,POINT (-84.0739102 10.2735633)
