,Unnamed: 0,Case_Number,Year,Type,Country,Area,Location,Activity,Sex,Age,Injury,Fatal,Time,Species
0,0,2018.06.25,2018,Boat,USA,California,"Oceanside, San Diego County",Surfing,F,57,"No injury to occupant, outrigger canoe and paddle damaged",N,18:00,White shark
1,1,2018.06.18,2018,Unprovoked,USA,Georgia,"St. Simon Island, Glynn County",Standing,F,11,Minor injury to left thigh,N,14:00  -15:00,Unknown
2,2,2018.06.09,2018,Invalid,USA,Hawaii,"Habush, Oahu",Surfing,M,48,Injury to left lower leg from surfboard skeg,N,07:45,Unknown
3,3,2018.06.08,2018,Unprovoked,AUSTRALIA,New South Wales,Arrawarra Headland,Surfing,M,,Minor injury to lower leg,N,07:45,shark
4,4,2018.06.04,2018,Provoked,MEXICO,Colima,La Ticla,Free,M,,Lacerations to leg & hand shark PROVOKED INCIDENT,N,07:45,"Tiger shark, "
5,5,2018.06.03,2018,Unprovoked,AUSTRALIA,New South Wales,"Flat Rock, Ballina",Kite,M,,"No injury, board bitten",N,07:45,Unknown
6,6,2018.06.03,2018,Unprovoked,BRAZIL,Pernambuco,"Piedade Beach, Recife",Swimming,M,18,FATAL,Y,19:30,Tiger shark
7,7,2018.05.27,2018,Unprovoked,USA,Florida,"Lighhouse Point Park, Ponce Inlet, Volusia County",Fishing,M,52,Minor injury to foot. PROVOKED INCIDENT,N,19:30,"Lemon shark, "
8,8,2018.05.26,2018,Unprovoked,USA,Florida,"Cocoa Beach, Brevard  County",Walking,M,15,Lower left leg bitten,N,17:00,"Bull shark, "
9,9,2018.05.26,2018,Unprovoked,USA,Florida,"Daytona Beach, Volusia County",Standing,M,12,Minor injury to foot,N,14:00,Unknown
10,10,2018.05.24,2018,Provoked,AUSTRALIA,Queensland,Cairns Aquarium,Feeding,M,32,Minor bite to hand by captive shark. PROVOKED INCIDENT,N,08:30,Grey reef shark
11,11,2018.05.21,2018,Unprovoked,USA,South Carolina,"Isle of Palms,  Charleston County",Boogie,M,10,Injuries to lower right leg and foot,N,08:30,Unknown
12,12,2018.05.13,2018,Unprovoked,USA,South Carolina,"Hilton Head Island, Beaufort County",Swimming,M,10,Severe bite to right forearm,N,15:00,Unknown
13,13,2018.05.13,2018,Invalid,ENGLAND,Cornwall,Off Land's End,Fishing,M,21,Injured by teeth of a dead porbeagle shark he was tossing overboard.,N,08:15,Invalid incident
14,14,2018.05.00,2018,Provoked,AUSTRALIA,Westerm Australia,Dugong Bay,Feeding,F,34,Shallow lacerations to finger PROVOKED INCIDENT,N,08:15,"Tawny nurse shark, "
15,15,2018.05.12,2018,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"Nahoon Beach, East London",Surfing,M,,"Minor injury, marks on board",N,11:00,Unknown
16,16,2018.05.09,2018,Unknown,AUSTRALIA,New South Wales,"Sharpes Beach, Ballina",Surfing,M,,"No injury, surfboard damaged",N,10:30,Shark involvement not confirmed
17,17,2018.04.30,2018,Unprovoked,THAILAND,Hua Hin,Sai Noi Beach,Swimming,M,,Minor injury to ankle,N,10:30,Unknown
18,18,2018.04.28,2018,Unprovoked,COSTA RICA,Cocos Island,Manuelita,Diving,M,30,"No injury, shark bit scuba gear",N,10:40,Tiger shark
19,19,2018.04.28,2018,Unprovoked,AUSTRALIA,Western Australia,Gearys Beach,Surfing,M,,"No injury, knocked off board by shark",N,16:50,Unknown
20,20,2018.04.25,2018,Unknown,AUSTRALIA,New South Wales,Lennox Head,Surfing,M,,No injury,N,07:00,Questionable
21,21,2018.04.25,2018,Unprovoked,AUSTRALIA,Western Australia,"Surfers Point, Prevelly",Surfing,M,60,"No injury, knocked off board by shark",N,09:30,shark
22,22,2018.04.24,2018,Unprovoked,AUSTRALIA,Western Australia,"South Point, Gracetown",Surfing,M,,"No injury, shark struck his leg",N,18:30,"White shark,"
23,23,2018.04.23,2018,Unprovoked,MALDIVES,Alifu Alifu Atoll,Madoogali,Fishing,M,32,5-inch cut to hand,N,21:50,Tiger shark
24,24,2018.04.22,2018,Unprovoked,SOUTH AFRICA,Western Cape Province,"Robberg Beach, Plettenberg Bay",Surfing,M,33,"No injury, shark bit hole in ski",N,09:40,"White shark,"
25,25,2018.04.19,2018,Unprovoked,USA,Hawaii,"Shipwreck’s Beach, Keoneloa Bay, Kauai",Surfing,M,29,Lacerations to right lower leg,N,09:40, shark
26,26,2018.04.15,2018,Unprovoked,THAILAND,Hua Hin,Sai Noi Beach,Swimming,M,54,Lacerations to foot and ankle,N,09:40,Juvenile bull shark
27,27,2018.04.15,2018,Unprovoked,BRAZIL,Pernambuco,Piedade,Swimming,M,34,"Multiple severe injuries to arms and leg, leg subsequently surgically amputated",Unknown,09:40,Unknown
28,28,2018.04.15,2018,Unprovoked,AUSTRALIA,Western Australia,"Lefthanders, Margaret River Area",Surfing,M,41,Laceration to right thigh,N,09:40,Unknown
29,29,2018.04.15,2018,Unprovoked,AUSTRALIA,Western Australia,"Cobblestones, Margaret River Area",Surfing,M,37,Lacerations to legs,N,08:00,Unknown
30,30,2018.04.14,2018,Unprovoked,BAHAMAS,New Providence,Nirvana Beach,Surfing,M,,No Injury. Shark swam away with the surf board,N,09:30,Tiger shark
31,31,2018.04.10,2018,Invalid,BRAZIL,Alagoas,"Praia de Sauaçuhy, Maceió",Fishing,M,56,Injury to ankle from marine animal trapped in weir PROVOKED INCIDENT. ,N,09:30,Shark involvement not confirmed
32,32,2018.04.09,2018,Unprovoked,NEW CALEDONIA,Unknown,"Magenta Beach, Noumea",Surfing,Unknown,,"No injury, shark bit board",N,17:00,shark
33,33,2018.04.05,2018,Unprovoked,BAHAMAS,Unknown,Bimini,Swimming,M,12,"2 puncture wounds to left foot, abrasion to right foot",N,18:00,Bull shark
34,34,2018.04.03,2018,Unprovoked,SOUTH AFRICA,Eastern Cape Province,St. Francis Bay,Surfing,M,19,Lacerations to left knee & lower leg,N,15:00,White shark
35,35,2018.03.31,2018,Unprovoked,USA,Hawaii,Kukio Beach,Stand,M,25,Injuries to right leg & hand,N,09:30,"Tiger shark, '"
36,36,2018.03.14,2018,Unprovoked,AUSTRALIA,Western Australia,Waterman's Bay,Wading,M,10,Minor injuries to legs,N,17:35,Wobbegong shark
37,37,2018.03.09,2018,Unprovoked,AUSTRALIA,Victoria,Lorne,Swimming,M,69,"No injury, said to have been charged by sharks several times",N,15:30,shark
38,38,2018.03.09,2018,Unprovoked,AUSTRALIA,Victoria,Winkipop,Surfing,M,18,"Minor injury, ankle grazed",N,07:30,shark
39,39,2018.02.24,2018,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Durban,Diving,M,38, The shark & man simply collided; neither were injured,N,07:30,Blacktip shark
40,40,2018.02.23,2018,Unprovoked,AUSTRALIA,New South Wales,"Little Congwong Beach, La Perouse ",Swimming,F,55,Laceratons to right leg & foot,N,"19:00, 07:30","Juvenile white shark,  "
41,41,2018.02.17,2018,Provoked,AUSTRALIA,Victoria,Westernport Bay,Kayaking,M,34,"Shark rammed kayak, no injury to occupant  PROVOKED INCIDENT",N,21:30,Unknown
42,42,2018.02.15,2018,Unprovoked,AUSTRALIA,New South Wales,"Surf Beach, Kiama",Walking,M,35,Puncture wounds to leff foot & lower leg,N,16:00,"Bull shark,"
43,43,2018.02.14,2018,Invalid,AUSTRALIA,Queensland,Mooloolaba Beach,Swimming,F,,"Collision / No injury, no attack",N,18:00,Possibly wobbegong
44,44,2018.02.11,2018,Invalid,BRAZIL,"Boi Island, Victoria",Espirito Santo,Cleaning,F,46,Lacerations to 4 toes of right foot,N,18:00,"Injury believed caused by an eel, not shark"
45,45,2018.02.03,2018,Unprovoked,ECUADOR,Galapagos Islands,Santa Fe Island,Snorkeling,M,45,Injuries to right foot,N,18:00,Galapagos shark?
46,46,2018.02.01,2018,Invalid,AUSTRALIA,Western Australia,"Avalon Point, Manurah",Spearfishing,M,14,"No injury no attack. This is considerd an ""encounter""",N,18:00, shark
47,47,2018.01.28,2018,Unprovoked,AUSTRALIA,Western Australia,Cone Bay,Unknown,M,18,Injuries to right leg,N,08:00,Bull shark
48,48,2018.01.21,2018,Unprovoked,NEW CALEDONIA,Unknown,Nouville,Spearfishing,M,40s,Injuries to abdomen and arm,N,15:30,"Bull shark, "
49,49,2018.01.14,2018,Unprovoked,AUSTRALIA,Queensland,Lizard Island,Diving,M,,Severe laceration to left forearm,N,15:01,Grey reef shark.
50,50,2018.01.13,2018,Unprovoked,AUSTRALIA,New South Wales,Martin Islet,Free,M,28,"No injury, shark took his swimfin",N,15:01,"White shark,"
51,51,2018.01.12,2018,Unprovoked,BRAZIL,Fernando de Noronha,Conceicao Beach,Surfing,M,20,Minor injury to left forearm,N,19:30,small shark
52,52,2018.01.05,2018,Unprovoked,AUSTRALIA,Western Australia,"South Point, Gracetown",Surfing,M,,Foot bitten,N,19:30,Wobbegong shark?
53,53,2017.12.31,2017,Unprovoked,USA,Hawaii,"Hultin's Beach, Oahu",Surfing,F,54,Severe lacerations to left thigh & knee,N,18:00,Tiger shark
54,54,2017.12.30,2017,Unprovoked,USA,California,"Drakes Estero, Point Reyes, Marin County",Surfing,F,35,Foot bitten,N,12:00,Unknown
55,55,2017.12.21,2017,Provoked,MALAYSIA,Sepang,Bagan Lalang Beach,Fishing/,M,24,"Minor injury to thigh, PROVOKED INCIDENT",N,12:00,Juvenile nurse shark
56,56,2017.12.09,2017,Unprovoked,BAHAMAS,Unknown,,Snorkeling,F,25,Minor injury to arm,N,12:00,Nurse shark. 
57,57,2017.11.30,2017,Unprovoked,COSTA RICA,Cocos Island,Manuelita,Diving,M,26,Serious injury to leg,N,12:00,"Tiger shark, female"
58,58,2017.11.30,2017,Unprovoked,COSTA RICA,Cocos Island,Manuelita,Diving,F,49,FATAL,Y,12:00,"Tiger shark, female"
59,59,2017.11.25,2017,Sea Disaster,LIBYA,Unknown, Gars Garabulli,2,Unknown,,FATAL,Y,12:00,Some drowned but otheray have been killed by blue sharks
60,60,2017.11.24,2017,Unprovoked,USA,California,"Stillwater Cove, Monterey County",Spearfishing,M,25,Right leg bitten,N,13:45,"White shark,"
61,61,2017.11.18,2017,Unprovoked,USA,Florida,"Floridana Beach, Brevard County",Surfing,F,14,Heel bitten,N,19:30,Unknown
62,62,2017.11.13,2017,Unprovoked,UNKNOWN,Unknown,,Surfing,M,24,Puncture wounds to feet,N,19:30,Unknown
63,63,2017.11.13,2017,Unprovoked,AUSTRALIA,New South Wales,Avoca Beach,Surfing,M,25,Puncture wounds to left shoulder,N,16:00,shark
64,64,2017.11.04,2017,Unprovoked,CUBA,Holquin Province,Guardalavaca Beach,Night,M,22,FATAL,Y,23:30,Tiger shark
65,65,2017.10.31,2017,Unprovoked,AUSTRALIA,Queensland,Magnetic Island,Snorkeling,M,7,Calf injured,N,23:30,Cookiecutter shark
66,66,2017.10.28,2017,Unprovoked,AUSTRALIA,New South Wales,Birubi Point,Surfing,M,31,Minor injury to foot,N,09:00,"Wobbegong shark,"
67,67,2017.10.26,2017,Unprovoked,USA,Hawaii,"White Plains Beach, Oahu",Stand,M,,No injury but shark bit SUP,N,15:00,Unknown
68,68,2017.10.23,2017,Unprovoked,MAURITIUS,Pamplemousses ,Le Goulet,Swimming,M,,Minor injury to foot,N,18:30,Unknown
69,69,2017.10.23,2017,Unprovoked,USA,Florida,"Juno Beach, Palm Beach County",Surfing,M,17,Lacerations to left foot,N,17:00,Unknown
70,70,2017.10.23,2017,Unprovoked,USA,Florida,"Ocean Reef Park, Singer Island, Palm Beach County",Swimming,F,60,Severe lacerations to left hand & wrist,N,08:00,Unknown
71,71,2017.10.22,2017,Unprovoked,AUSTRALIA,South Australia,Normanville,Kayaking/,F,15,Minor injuries,N,18:30,"White shark,"
72,72,2017.10.21,2017,Unprovoked,NEW ZEALAND,North Island,"Off Tapuna Beach, Auckand",Kayaking,M,,"No injury, shark shook kayak x3 ",N,09:00,shark
73,73,2017.10.18,2017,Unprovoked,USA,Florida,"Lantana Beach, Palm Beach County",Swimming,M,,Puncture wounds & lacerations to foot,N,14:30,"Spinner shark, feet"
74,74,2017.10.09,2017,Unprovoked,USA,Hawaii,"Davidsons Beach, Kekaha, Kauai",Surfing,M,54,Lacerations to left hand,N,18:30,"Tiger shark, feet"
75,75,2017.10.05,2017,Unprovoked,USA,Hawaii,"Kama‘ole Beach Park, Maui ",Snorkeling,F,40,Abrasions,N,12:30, shark
76,76,2017.10.01,2017,Invalid,SOUTH AFRICA,Western Cape Province,Dyer Island,Diving,M,31,FATAL,Unknown,12:30,Deathay have been due drowning
77,77,2017.09.25,2017,Unprovoked,USA,Florida,"Hanna Park, Jacksonville, Duval County",Surfing,M,,Lacerations to lower left leg and foot,N,08:30, shark
78,78,2017.09.25,2017,Unprovoked,AUSTRALIA,Western Australia,Gracetown,Surfing,M,,"No injury, board damaged by shark",N,18:00,"White shark,"
79,79,2017.09.24,2017,Invalid,USA,New York,Rockaway,Surfing,M,33,"Lacerations to right ankle, foot & toe",Unknown,15:30,Questionable
80,80,2017.09.24,2017,Unprovoked,USA,Florida,Fort Worth,Surfing,M,,Laceration to upper arm,N,14:00, shark
81,81,2017.09.20,2017,Unprovoked,USA,Florida,Palm Beach County,Surfing,M,,Minor lacerations to sole of left foot,N,08:30,Unknown
82,82,2017.09.16,2017,Unprovoked,SPAIN,Canary Islands,Gran Canaria ,Surfing,M,13,Lacerations to right foot,N,08:30,"Porbeagle,"
